group␜subgroup
0␜Smileys & Emotion␜Face Smiling
1␜Smileys & Emotion␜Face Affection
2␜Smileys & Emotion␜Face Tongue
3␜Smileys & Emotion␜Face Hand
4␜Smileys & Emotion␜Face Neutral Skeptical
5␜Smileys & Emotion␜Face Sleepy
6␜Smileys & Emotion␜Face Unwell
7␜Smileys & Emotion␜Face Hat
8␜Smileys & Emotion␜Face Glasses
9␜Smileys & Emotion␜Face Concerned
10␜Smileys & Emotion␜Face Negative
11␜Smileys & Emotion␜Face Costume
12␜Smileys & Emotion␜Cat Face
13␜Smileys & Emotion␜Monkey Face
14␜Smileys & Emotion␜Heart
15␜Smileys & Emotion␜Emotion
16␜People & Body␜Hand Fingers Open
17␜People & Body␜Hand Fingers Partial
18␜People & Body␜Hand Single Finger
19␜People & Body␜Hand Fingers Closed
20␜People & Body␜Hands
21␜People & Body␜Hand Prop
22␜People & Body␜Body Parts
23␜People & Body␜Person
24␜People & Body␜Person Gesture
25␜People & Body␜Person Role
26␜People & Body␜Person Fantasy
27␜People & Body␜Person Activity
28␜People & Body␜Person Sport
29␜People & Body␜Person Resting
30␜People & Body␜Family
31␜People & Body␜Person Symbol
32␜Animals & Nature␜Animal Mammal
33␜Animals & Nature␜Animal Bird
34␜Animals & Nature␜Animal Amphibian
35␜Animals & Nature␜Animal Reptile
36␜Animals & Nature␜Animal Marine
37␜Animals & Nature␜Animal Bug
38␜Animals & Nature␜Plant Flower
39␜Animals & Nature␜Plant Other
40␜Food & Drink␜Food Fruit
41␜Food & Drink␜Food Vegetable
42␜Food & Drink␜Food Prepared
43␜Food & Drink␜Food Asian
44␜Food & Drink␜Food Sweet
45␜Food & Drink␜Drink
46␜Food & Drink␜Dishware
47␜Travel & Places␜Place Map
48␜Travel & Places␜Place Geographic
49␜Travel & Places␜Place Building
50␜Travel & Places␜Place Religious
51␜Travel & Places␜Place Other
52␜Travel & Places␜Transport Ground
53␜Travel & Places␜Transport Water
54␜Travel & Places␜Transport Air
55␜Travel & Places␜Hotel
56␜Travel & Places␜Time
57␜Travel & Places␜Sky & Weather
58␜Activities␜Event
59␜Activities␜Award Medal
60␜Activities␜Sport
61␜Activities␜Game
62␜Activities␜Arts & Crafts
63␜Objects␜Clothing
64␜Objects␜Sound
65␜Objects␜Music
66␜Objects␜Musical Instrument
67␜Objects␜Phone
68␜Objects␜Computer
69␜Objects␜Light & Video
70␜Objects␜Book Paper
71␜Objects␜Money
72␜Objects␜Mail
73␜Objects␜Writing
74␜Objects␜Office
75␜Objects␜Lock
76␜Objects␜Tool
77␜Objects␜Science
78␜Objects␜Medical
79␜Objects␜Household
80␜Objects␜Other Object
81␜Symbols␜Transport Sign
82␜Symbols␜Warning
83␜Symbols␜Arrow
84␜Symbols␜Religion
85␜Symbols␜Zodiac
86␜Symbols␜Av Symbol
87␜Symbols␜Gender
88␜Symbols␜Math
89␜Symbols␜Punctuation
90␜Symbols␜Currency
91␜Symbols␜Other Symbol
92␜Symbols␜Keycap
93␜Symbols␜Alphanum
94␜Symbols␜Geometric
95␜Flags␜Flag
96␜Flags␜Country Flag
97␜Flags␜Subdivision Flag
