emoji␜group␜code␜title␜modifiers␜tone␜keywords
😀␜0␜1F600␜Grinning Face␜␜false␜cheerful;cheery;face;grin;grinning;happy;laugh;nice;smile;smiling;teeth
😃␜0␜1F603␜Grinning Face Big Eyes␜␜false␜awesome;big;eyes;face;grin;grinning;happy;mouth;open;smile;smiling;teeth;yay
😄␜0␜1F604␜Grinning Face Smiling Eyes␜␜false␜eye;eyes;face;grin;grinning;happy;laugh;lol;mouth;open;smile;smiling
😁␜0␜1F601␜Beaming Face Smiling Eyes␜␜false␜beaming;eye;eyes;face;grin;grinning;happy;nice;smile;smiling;teeth
😆␜0␜1F606␜Grinning Squinting Face␜␜false␜closed;eyes;face;grinning;haha;hahaha;happy;laugh;lol;mouth;open;rofl;smile;smiling;squinting
😅␜0␜1F605␜Grinning Face Sweat␜␜false␜cold;dejected;excited;face;grinning;mouth;nervous;open;smile;smiling;stress;stressed;sweat
🤣␜0␜1F923␜Rolling Floor Laughing␜␜false␜crying;face;floor;funny;haha;happy;hehe;hilarious;joy;laugh;lmao;lol;rofl;roflmao;rolling;tear
😂␜0␜1F602␜Face Tears Joy␜␜false␜crying;face;feels;funny;haha;happy;hehe;hilarious;joy;laugh;lmao;lol;rofl;roflmao;tear
🙂␜0␜1F642␜Slightly Smiling Face␜␜false␜face;happy;slightly;smile;smiling
🙃␜0␜1F643␜Upside-Down Face␜␜false␜face;hehe;smile;upside-down
🫠␜0␜1FAE0␜Melting Face␜␜false␜disappear;dissolve;embarrassed;face;haha;heat;hot;liquid;lol;melt;melting;sarcasm;sarcastic
😉␜0␜1F609␜Winking Face␜␜false␜face;flirt;heartbreaker;sexy;slide;tease;wink;winking;winks
😊␜0␜1F60A␜Smiling Face Smiling Eyes␜␜false␜blush;eye;eyes;face;glad;satisfied;smile;smiling
😇␜0␜1F607␜Smiling Face Halo␜␜false␜angel;angelic;angels;blessed;face;fairy;fairytale;fantasy;halo;happy;innocent;peaceful;smile;smiling;spirit;tale
🥰␜1␜1F970␜Smiling Face Hearts␜␜false␜3;adore;crush;face;heart;hearts;ily;love;romance;smile;smiling;you
😍␜1␜1F60D␜Smiling Face Heart-Eyes␜␜false␜143;bae;eye;face;feels;heart-eyes;hearts;ily;kisses;love;romance;romantic;smile;xoxo
🤩␜1␜1F929␜Star-Struck␜␜false␜excited;eyes;face;grinning;smile;star;star-struck;starry-eyed;wow
😘␜1␜1F618␜Face Blowing Kiss␜␜false␜adorbs;bae;blowing;face;flirt;heart;ily;kiss;love;lover;miss;muah;romantic;smooch;xoxo;you
😗␜1␜1F617␜Kissing Face␜␜false␜143;date;dating;face;flirt;ily;kiss;love;smooch;smooches;xoxo;you
☺️␜1␜263A;FE0F␜Smiling Face␜␜false␜
